# Residuals  
# Time       	p            
0.00012      	1.000000e+00
0.000264     	1.738170e-01
0.0004368    	5.499070e-03
0.00064416   	1.065000e-03
0.000892992  	2.442800e-04
0.00119159   	6.693030e-05
0.00154991   	1.795820e-05
0.00197989   	5.463720e-06
0.00249587   	1.874990e-06
0.00311504   	9.580060e-07
0.00385805   	7.515080e-07
0.00474966   	7.856400e-07
0.00581959   	9.047230e-07
0.00710351   	1.074180e-06
0.00864421   	1.285040e-06
0.0104931    	1.540830e-06
0.0127117    	1.848570e-06
0.015374     	2.218140e-06
0.0185688    	2.661720e-06
0.0224026    	3.194060e-06
0.0270031    	3.832870e-06
0.0325237    	4.599450e-06
0.0391484    	5.519360e-06
0.0470981    	6.623260e-06
0.0566377    	7.947950e-06
0.0680853    	9.537590e-06
0.0818223    	1.144520e-05
0.0983068    	1.373440e-05
0.118088     	1.648140e-05
0.141826     	1.977800e-05
0.170311     	2.373390e-05
0.204493     	2.848130e-05
0.245512     	3.417830e-05
0.294734     	4.101510e-05
0.353801     	4.921980e-05
0.424681     	5.906620e-05
0.509737     	7.088280e-05
0.611804     	8.506440e-05
0.734284     	1.020840e-04
0.881261     	1.225110e-04
1.05763      	1.470280e-04
1.26928      	1.764550e-04
1.52325      	2.117760e-04
1.82802      	2.541750e-04
2.19374      	3.050730e-04
2.6326       	3.661780e-04
3.15924      	4.395430e-04
3.7912       	5.276390e-04
4.54954      	6.334380e-04
5.45955      	7.605110e-04
6.55155      	9.131650e-04
7.86193      	1.096590e-03
9.43439      	1.317060e-03
11.3213      	1.582120e-03
13.5856      	1.900790e-03
16.3026      	2.283980e-03
19.563       	2.745070e-03
23.4754      	3.300220e-03
28.17        	3.968960e-03
33.8034      	4.775100e-03
40.5635      	5.747510e-03
48.6754      	6.921160e-03
58.4095      	8.338510e-03
70.0899      	1.005050e-02
84.1045      	1.211730e-02
100.92       	1.461120e-02
121.098      	1.761160e-02
145.306      	2.119530e-02
174.348      	2.541890e-02
209.187      	3.026290e-02
250.987      	3.551040e-02
301.131      	4.044110e-02
361.298      	4.331790e-02
433.479      	4.061860e-02
520.051      	2.773630e-02
623.896      	6.727040e-03
748.39       	3.060780e-02
897.609      	4.992240e-02
1076.48      	6.091040e-02
1290.86      	6.835880e-02
1547.99      	7.526830e-02
1855.43      	8.161960e-02
2223.01      	8.474920e-02
2663.73      	7.709820e-02
3177.45      	4.644220e-02
3747.47      	5.046740e-02
4364.28      	7.387470e-02
5053.65      	8.817240e-02
5835.83      	9.473400e-02
6730.99      	9.011360e-02
7714.55      	7.217740e-02
8579.23      	5.298550e-02
9539.98      	6.746600e-02
10607.5      	8.689680e-02
11791.7      	9.634600e-02
13124        	8.399370e-02
14217.7      	5.977580e-02
15328.2      	5.984240e-02
16553.6      	6.956890e-02
17896.8      	8.330330e-02
19354.3      	8.343830e-02
20530.5      	6.349400e-02
21728.2      	6.277940e-02
23048        	6.575870e-02
24487.8      	7.060810e-02
26035.6      	7.276800e-02
27472.9      	6.491970e-02
28782.4      	6.799900e-02
30187.7      	6.949070e-02
31706.9      	7.073110e-02
33269.6      	6.583770e-02
34832.2      	5.869310e-02
36226        	5.649740e-02
37701.7      	6.694320e-02
39223.5      	7.116420e-02
40908.4      	7.141300e-02
42593.2      	5.728830e-02
44157.8      	5.461040e-02
45666.4      	5.785400e-02
47295.8      	6.548860e-02
