X "Sw"  "Sw"
0 0.788241  0.791817
1 0.786524  0.790519
2 0.783485  0.788232
3 0.781024  0.786414
4 0.778847  0.784853
5 0.776824  0.78346
6 0.774875  0.78219
7 0.772933  0.781012
8 0.770928  0.779905
9 0.768777  0.778856
10 0.766364  0.777852
11 0.76351  0.776886
12 0.759947  0.775948
13 0.755261  0.775028
14 0.748868  0.774119
15 0.740058  0.773212
16 0.728189  0.772293
17 0.71295  0.771342
18 0.694461  0.770329
19 0.673096  0.769206
20 0.649228  0.767866
21 0.623075  0.766069
22 0.594671  0.763029
23 0.563869  0.753577
24 0.53033  0.566064
25 0.493475  0.27308
26 0.452357  0.160121
27 0.405386  0.1601
28 0.349711  0.1601
29 0.28012  0.1601
30 0.202531  0.1601
31 0.162079  0.1601
32 0.1601  0.1601
33 0.1601  0.1601
34 0.1601  0.1601
35 0.1601  0.1601
36 0.1601  0.1601
37 0.1601  0.1601
38 0.1601  0.1601
39 0.1601  0.1601
40 0.1601  0.1601
41 0.1601  0.1601
42 0.1601  0.1601
43 0.1601  0.1601
44 0.1601  0.1601
45 0.1601  0.1601
46 0.1601  0.1601
47 0.1601  0.1601
48 0.1601  0.1601
49 0.1601  0.1601
50 0.1601  0.1601
51 0.1601  0.1601
52 0.1601  0.1601
53 0.1601  0.1601
54 0.1601  0.1601
55 0.1601  0.1601
56 0.1601  0.1601
57 0.1601  0.1601
58 0.1601  0.1601
59 0.1601  0.1601
60 0.1601  0.1601
61 0.1601  0.1601
62 0.1601  0.1601
63 0.1601  0.1601
64 0.1601  0.1601
65 0.1601  0.1601
66 0.1601  0.1601
67 0.1601  0.1601
68 0.1601  0.1601
69 0.1601  0.1601
70 0.1601  0.1601
71 0.1601  0.1601
72 0.1601  0.1601
73 0.1601  0.1601
74 0.1601  0.1601
75 0.1601  0.1601
76 0.1601  0.1601
77 0.1601  0.1601
78 0.1601  0.1601
79 0.1601  0.1601
80 0.1601  0.1601
81 0.1601  0.1601
82 0.1601  0.1601
83 0.1601  0.1601
84 0.1601  0.1601
85 0.1601  0.1601
86 0.1601  0.1601
87 0.1601  0.1601
88 0.1601  0.1601
89 0.1601  0.1601
90 0.1601  0.1601
91 0.1601  0.1601
92 0.1601  0.1601
93 0.1601  0.1601
94 0.1601  0.1601
95 0.1601  0.1601
96 0.1601  0.1601
97 0.1601  0.1601
98 0.1601  0.1601
99 0.1601  0.1601
100 0.1601  0.1601
