X "Sw"  "Sw"
0 0.792991  0.794196
1 0.791937  0.793271
2 0.790086  0.791641
3 0.788621  0.790345
4 0.787365  0.789234
5 0.786247  0.788244
6 0.78523  0.787344
7 0.784288  0.786512
8 0.783405  0.785737
9 0.782572  0.785006
10 0.781779  0.784313
11 0.78102  0.783654
12 0.780289  0.783023
13 0.779584  0.782418
14 0.778899  0.781834
15 0.778232  0.78127
16 0.777579  0.780724
17 0.776938  0.780194
18 0.776308  0.779679
19 0.775684  0.779176
20 0.775064  0.778686
21 0.774446  0.778207
22 0.773827  0.777736
23 0.773203  0.777276
24 0.77257  0.776824
25 0.771924  0.776379
26 0.771258  0.77594
27 0.770563  0.775507
28 0.769831  0.775079
29 0.769046  0.774655
30 0.768188  0.774234
31 0.767229  0.773816
32 0.766128  0.773398
33 0.764822  0.772979
34 0.763216  0.77256
35 0.761159  0.772135
36 0.758415  0.771704
37 0.754618  0.771263
38 0.749233  0.770808
39 0.741579  0.770332
40 0.730969  0.769824
41 0.716982  0.76927
42 0.699627  0.768647
43 0.679246  0.76791
44 0.65625  0.766976
45 0.63092  0.765653
46 0.603356  0.763384
47 0.57347  0.757325
48 0.540996  0.640359
49 0.505447  0.344421
50 0.466036  0.160484
51 0.421485  0.1601
52 0.369625  0.1601
53 0.306548  0.1601
54 0.225442  0.1601
55 0.169709  0.1601
56 0.160103  0.1601
57 0.1601  0.1601
58 0.1601  0.1601
59 0.1601  0.1601
60 0.1601  0.1601
61 0.1601  0.1601
62 0.1601  0.1601
63 0.1601  0.1601
64 0.1601  0.1601
65 0.1601  0.1601
66 0.1601  0.1601
67 0.1601  0.1601
68 0.1601  0.1601
69 0.1601  0.1601
70 0.1601  0.1601
71 0.1601  0.1601
72 0.1601  0.1601
73 0.1601  0.1601
74 0.1601  0.1601
75 0.1601  0.1601
76 0.1601  0.1601
77 0.1601  0.1601
78 0.1601  0.1601
79 0.1601  0.1601
80 0.1601  0.1601
81 0.1601  0.1601
82 0.1601  0.1601
83 0.1601  0.1601
84 0.1601  0.1601
85 0.1601  0.1601
86 0.1601  0.1601
87 0.1601  0.1601
88 0.1601  0.1601
89 0.1601  0.1601
90 0.1601  0.1601
91 0.1601  0.1601
92 0.1601  0.1601
93 0.1601  0.1601
94 0.1601  0.1601
95 0.1601  0.1601
96 0.1601  0.1601
97 0.1601  0.1601
98 0.1601  0.1601
99 0.1601  0.1601
100 0.1601  0.1601
