X "Sw"  "Sw"
0 0.782021  0.789979
1 0.779311  0.78839
2 0.77427  0.78559
3 0.769588  0.783355
4 0.764597  0.781423
5 0.758721  0.779685
6 0.751279  0.77808
7 0.741507  0.776562
8 0.728749  0.7751
9 0.712707  0.77366
10 0.69351  0.7722
11 0.671518  0.770658
12 0.64706  0.768921
13 0.62031  0.766719
14 0.591264  0.763161
15 0.559731  0.751513
16 0.525325  0.53962
17 0.487404  0.248598
18 0.444914  0.160106
19 0.396057  0.1601
20 0.337449  0.1601
21 0.262057  0.1601
22 0.189965  0.1601
23 0.16053  0.1601
24 0.1601  0.1601
25 0.1601  0.1601
26 0.1601  0.1601
27 0.1601  0.1601
28 0.1601  0.1601
29 0.1601  0.1601
30 0.1601  0.1601
31 0.1601  0.1601
32 0.1601  0.1601
33 0.1601  0.1601
34 0.1601  0.1601
35 0.1601  0.1601
36 0.1601  0.1601
37 0.1601  0.1601
38 0.1601  0.1601
39 0.1601  0.1601
40 0.1601  0.1601
41 0.1601  0.1601
42 0.1601  0.1601
43 0.1601  0.1601
44 0.1601  0.1601
45 0.1601  0.1601
46 0.1601  0.1601
47 0.1601  0.1601
48 0.1601  0.1601
49 0.1601  0.1601
50 0.1601  0.1601
51 0.1601  0.1601
52 0.1601  0.1601
53 0.1601  0.1601
54 0.1601  0.1601
55 0.1601  0.1601
56 0.1601  0.1601
57 0.1601  0.1601
58 0.1601  0.1601
59 0.1601  0.1601
60 0.1601  0.1601
61 0.1601  0.1601
62 0.1601  0.1601
63 0.1601  0.1601
64 0.1601  0.1601
65 0.1601  0.1601
66 0.1601  0.1601
67 0.1601  0.1601
68 0.1601  0.1601
69 0.1601  0.1601
70 0.1601  0.1601
71 0.1601  0.1601
72 0.1601  0.1601
73 0.1601  0.1601
74 0.1601  0.1601
75 0.1601  0.1601
76 0.1601  0.1601
77 0.1601  0.1601
78 0.1601  0.1601
79 0.1601  0.1601
80 0.1601  0.1601
81 0.1601  0.1601
82 0.1601  0.1601
83 0.1601  0.1601
84 0.1601  0.1601
85 0.1601  0.1601
86 0.1601  0.1601
87 0.1601  0.1601
88 0.1601  0.1601
89 0.1601  0.1601
90 0.1601  0.1601
91 0.1601  0.1601
92 0.1601  0.1601
93 0.1601  0.1601
94 0.1601  0.1601
95 0.1601  0.1601
96 0.1601  0.1601
97 0.1601  0.1601
98 0.1601  0.1601
99 0.1601  0.1601
100 0.1601  0.1601
