X "Sw"  "Sw"
0 0.790692  0.792906
1 0.789319  0.791779
2 0.786902  0.789793
3 0.78498  0.788216
4 0.783321  0.786861
5 0.78183  0.785656
6 0.780456  0.784558
7 0.779163  0.783544
8 0.777929  0.782596
9 0.776737  0.7817
10 0.775569  0.780851
11 0.77441  0.780039
12 0.773243  0.77926
13 0.77205  0.778507
14 0.770805  0.77778
15 0.769477  0.777071
16 0.76802  0.77638
17 0.766365  0.775702
18 0.764407  0.775036
19 0.761985  0.774377
20 0.758843  0.773721
21 0.754586  0.773064
22 0.748648  0.7724
23 0.74033  0.771722
24 0.728974  0.77102
25 0.714229  0.770275
26 0.696181  0.76946
27 0.675201  0.76853
28 0.651679  0.767388
29 0.625858  0.765809
30 0.597798  0.763104
31 0.567374  0.755073
32 0.534276  0.591407
33 0.497963  0.297114
34 0.457548  0.160161
35 0.411575  0.1601
36 0.357504  0.1601
37 0.29089  0.1601
38 0.210978  0.1601
39 0.164158  0.1601
40 0.1601  0.1601
41 0.1601  0.1601
42 0.1601  0.1601
43 0.1601  0.1601
44 0.1601  0.1601
45 0.1601  0.1601
46 0.1601  0.1601
47 0.1601  0.1601
48 0.1601  0.1601
49 0.1601  0.1601
50 0.1601  0.1601
51 0.1601  0.1601
52 0.1601  0.1601
53 0.1601  0.1601
54 0.1601  0.1601
55 0.1601  0.1601
56 0.1601  0.1601
57 0.1601  0.1601
58 0.1601  0.1601
59 0.1601  0.1601
60 0.1601  0.1601
61 0.1601  0.1601
62 0.1601  0.1601
63 0.1601  0.1601
64 0.1601  0.1601
65 0.1601  0.1601
66 0.1601  0.1601
67 0.1601  0.1601
68 0.1601  0.1601
69 0.1601  0.1601
70 0.1601  0.1601
71 0.1601  0.1601
72 0.1601  0.1601
73 0.1601  0.1601
74 0.1601  0.1601
75 0.1601  0.1601
76 0.1601  0.1601
77 0.1601  0.1601
78 0.1601  0.1601
79 0.1601  0.1601
80 0.1601  0.1601
81 0.1601  0.1601
82 0.1601  0.1601
83 0.1601  0.1601
84 0.1601  0.1601
85 0.1601  0.1601
86 0.1601  0.1601
87 0.1601  0.1601
88 0.1601  0.1601
89 0.1601  0.1601
90 0.1601  0.1601
91 0.1601  0.1601
92 0.1601  0.1601
93 0.1601  0.1601
94 0.1601  0.1601
95 0.1601  0.1601
96 0.1601  0.1601
97 0.1601  0.1601
98 0.1601  0.1601
99 0.1601  0.1601
100 0.1601  0.1601
