X "Sw"  "Sw"
0 0.794158  0.794966
1 0.79327  0.794161
2 0.791708  0.792745
3 0.790471  0.791617
4 0.789413  0.790649
5 0.788472  0.789787
6 0.787616  0.789003
7 0.786825  0.788279
8 0.786088  0.787604
9 0.785392  0.786968
10 0.784733  0.786366
11 0.784105  0.785792
12 0.783503  0.785244
13 0.782924  0.784718
14 0.782367  0.784212
15 0.781826  0.783723
16 0.781304  0.783249
17 0.780795  0.782791
18 0.780299  0.782345
19 0.779815  0.781912
20 0.779342  0.78149
21 0.778879  0.781079
22 0.778423  0.780676
23 0.777977  0.780282
24 0.777537  0.779897
25 0.777102  0.779519
26 0.776673  0.779149
27 0.77625  0.778785
28 0.775829  0.778427
29 0.775412  0.778076
30 0.774997  0.77773
31 0.774584  0.777389
32 0.774171  0.777052
33 0.773757  0.77672
34 0.773341  0.776392
35 0.772923  0.776068
36 0.7725  0.775748
37 0.772071  0.775431
38 0.771632  0.775117
39 0.771182  0.774804
40 0.770718  0.774495
41 0.770234  0.774188
42 0.769725  0.773881
43 0.769185  0.773576
44 0.768602  0.773272
45 0.767964  0.772967
46 0.767253  0.772662
47 0.766441  0.772355
48 0.76549  0.772047
49 0.764341  0.771734
50 0.762905  0.771417
51 0.761042  0.771094
52 0.758533  0.770761
53 0.755039  0.770418
54 0.750055  0.770057
55 0.742919  0.769674
56 0.732928  0.76926
57 0.719593  0.768801
58 0.702851  0.768274
59 0.683003  0.767641
60 0.660469  0.766828
61 0.635565  0.765667
62 0.608421  0.763704
63 0.578987  0.75894
64 0.547032  0.686904
65 0.512117  0.391304
66 0.473528  0.16217
67 0.430107  0.1601
68 0.379879  0.1601
69 0.319113  0.1601
70 0.239533  0.1601
71 0.176879  0.1601
72 0.160134  0.1601
73 0.1601  0.1601
74 0.1601  0.1601
75 0.1601  0.1601
76 0.1601  0.1601
77 0.1601  0.1601
78 0.1601  0.1601
79 0.1601  0.1601
80 0.1601  0.1601
81 0.1601  0.1601
82 0.1601  0.1601
83 0.1601  0.1601
84 0.1601  0.1601
85 0.1601  0.1601
86 0.1601  0.1601
87 0.1601  0.1601
88 0.1601  0.1601
89 0.1601  0.1601
90 0.1601  0.1601
91 0.1601  0.1601
92 0.1601  0.1601
93 0.1601  0.1601
94 0.1601  0.1601
95 0.1601  0.1601
96 0.1601  0.1601
97 0.1601  0.1601
98 0.1601  0.1601
99 0.1601  0.1601
100 0.1601  0.1601
