X "Sw"  "Sw"
0 0.734441  0.785726
1 0.72343  0.783427
2 0.700592  0.779312
3 0.675873  0.775864
4 0.648961  0.7726
5 0.619713  0.769078
6 0.58791  0.764201
7 0.553174  0.748475
8 0.514894  0.510593
9 0.472093  0.222776
10 0.423167  0.160101
11 0.365326  0.1601
12 0.293723  0.1601
13 0.210211  0.1601
14 0.163404  0.1601
15 0.1601  0.1601
16 0.1601  0.1601
17 0.1601  0.1601
18 0.1601  0.1601
19 0.1601  0.1601
20 0.1601  0.1601
21 0.1601  0.1601
22 0.1601  0.1601
23 0.1601  0.1601
24 0.1601  0.1601
25 0.1601  0.1601
26 0.1601  0.1601
27 0.1601  0.1601
28 0.1601  0.1601
29 0.1601  0.1601
30 0.1601  0.1601
31 0.1601  0.1601
32 0.1601  0.1601
33 0.1601  0.1601
34 0.1601  0.1601
35 0.1601  0.1601
36 0.1601  0.1601
37 0.1601  0.1601
38 0.1601  0.1601
39 0.1601  0.1601
40 0.1601  0.1601
41 0.1601  0.1601
42 0.1601  0.1601
43 0.1601  0.1601
44 0.1601  0.1601
45 0.1601  0.1601
46 0.1601  0.1601
47 0.1601  0.1601
48 0.1601  0.1601
49 0.1601  0.1601
50 0.1601  0.1601
51 0.1601  0.1601
52 0.1601  0.1601
53 0.1601  0.1601
54 0.1601  0.1601
55 0.1601  0.1601
56 0.1601  0.1601
57 0.1601  0.1601
58 0.1601  0.1601
59 0.1601  0.1601
60 0.1601  0.1601
61 0.1601  0.1601
62 0.1601  0.1601
63 0.1601  0.1601
64 0.1601  0.1601
65 0.1601  0.1601
66 0.1601  0.1601
67 0.1601  0.1601
68 0.1601  0.1601
69 0.1601  0.1601
70 0.1601  0.1601
71 0.1601  0.1601
72 0.1601  0.1601
73 0.1601  0.1601
74 0.1601  0.1601
75 0.1601  0.1601
76 0.1601  0.1601
77 0.1601  0.1601
78 0.1601  0.1601
79 0.1601  0.1601
80 0.1601  0.1601
81 0.1601  0.1601
82 0.1601  0.1601
83 0.1601  0.1601
84 0.1601  0.1601
85 0.1601  0.1601
86 0.1601  0.1601
87 0.1601  0.1601
88 0.1601  0.1601
89 0.1601  0.1601
90 0.1601  0.1601
91 0.1601  0.1601
92 0.1601  0.1601
93 0.1601  0.1601
94 0.1601  0.1601
95 0.1601  0.1601
96 0.1601  0.1601
97 0.1601  0.1601
98 0.1601  0.1601
99 0.1601  0.1601
100 0.1601  0.1601
