X "Sw"  "Sw"
0 0.792076  0.793649
1 0.790895  0.792638
2 0.788819  0.790856
3 0.787174  0.789441
4 0.785762  0.788226
5 0.784503  0.787145
6 0.783351  0.786162
7 0.782282  0.785254
8 0.781277  0.784406
9 0.780322  0.783607
10 0.779408  0.782849
11 0.778526  0.782127
12 0.77767  0.781435
13 0.776834  0.78077
14 0.776012  0.780129
15 0.775198  0.779508
16 0.774387  0.778907
17 0.773572  0.778321
18 0.772747  0.77775
19 0.7719  0.777192
20 0.771022  0.776645
21 0.770097  0.776107
22 0.769104  0.775579
23 0.768014  0.775057
24 0.766784  0.774541
25 0.765348  0.774028
26 0.763608  0.773516
27 0.761406  0.773004
28 0.758498  0.772489
29 0.754504  0.771966
30 0.748874  0.77143
31 0.740918  0.770876
32 0.729961  0.770293
33 0.715616  0.769664
34 0.697931  0.768964
35 0.677266  0.768149
36 0.65402  0.767129
37 0.62846  0.765697
38 0.600663  0.763234
39 0.570527  0.756316
40 0.537763  0.616129
41 0.501858  0.320833
42 0.46198  0.160258
43 0.41677  0.1601
44 0.363907  0.1601
45 0.299305  0.1601
46 0.218365  0.1601
47 0.166707  0.1601
48 0.160101  0.1601
49 0.1601  0.1601
50 0.1601  0.1601
51 0.1601  0.1601
52 0.1601  0.1601
53 0.1601  0.1601
54 0.1601  0.1601
55 0.1601  0.1601
56 0.1601  0.1601
57 0.1601  0.1601
58 0.1601  0.1601
59 0.1601  0.1601
60 0.1601  0.1601
61 0.1601  0.1601
62 0.1601  0.1601
63 0.1601  0.1601
64 0.1601  0.1601
65 0.1601  0.1601
66 0.1601  0.1601
67 0.1601  0.1601
68 0.1601  0.1601
69 0.1601  0.1601
70 0.1601  0.1601
71 0.1601  0.1601
72 0.1601  0.1601
73 0.1601  0.1601
74 0.1601  0.1601
75 0.1601  0.1601
76 0.1601  0.1601
77 0.1601  0.1601
78 0.1601  0.1601
79 0.1601  0.1601
80 0.1601  0.1601
81 0.1601  0.1601
82 0.1601  0.1601
83 0.1601  0.1601
84 0.1601  0.1601
85 0.1601  0.1601
86 0.1601  0.1601
87 0.1601  0.1601
88 0.1601  0.1601
89 0.1601  0.1601
90 0.1601  0.1601
91 0.1601  0.1601
92 0.1601  0.1601
93 0.1601  0.1601
94 0.1601  0.1601
95 0.1601  0.1601
96 0.1601  0.1601
97 0.1601  0.1601
98 0.1601  0.1601
99 0.1601  0.1601
100 0.1601  0.1601
