# Residuals  
# Time       	p            
0.0012       	1.000000e+00
0.00264      	1.764230e-01
0.004368     	9.423620e-03
0.0064416    	9.451430e-04
0.00892992   	1.041560e-04
0.0119159    	1.405570e-05
0.0154991    	6.454050e-06
0.0197989    	6.476430e-06
0.0249587    	7.651150e-06
0.0311504    	9.169310e-06
0.0385805    	1.100260e-05
0.0474966    	1.320320e-05
0.0581959    	1.584400e-05
0.0710351    	1.901300e-05
0.0864421    	2.281600e-05
0.104931     	2.737970e-05
0.127117     	3.285640e-05
0.15374      	3.942880e-05
0.185688     	4.731620e-05
0.224025     	5.678170e-05
0.270031     	6.814140e-05
0.325237     	8.177450e-05
0.391484     	9.813630e-05
0.47098      	1.177730e-04
0.566376     	1.413420e-04
0.680851     	1.696310e-04
0.818221     	2.035870e-04
0.983065     	2.443470e-04
1.18088      	2.932780e-04
1.41825      	3.520220e-04
1.7031       	4.225530e-04
2.04492      	5.072480e-04
2.4551       	6.089620e-04
2.94731      	7.311350e-04
3.53797      	8.779120e-04
4.24675      	1.054280e-03
5.09729      	1.266280e-03
6.11793      	1.521190e-03
7.34268      	1.827710e-03
8.81237      	2.196230e-03
10.576       	2.639760e-03
12.6923      	3.173970e-03
15.2318      	3.817790e-03
18.2792      	4.594410e-03
21.936       	5.532210e-03
26.324       	6.665920e-03
31.5894      	8.038790e-03
37.9075      	9.704170e-03
45.4891      	1.172970e-02
54.5868      	1.419910e-02
65.5027      	1.721890e-02
78.6016      	2.092960e-02
94.3192      	2.550920e-02
113.18       	3.119720e-02
135.809      	3.831010e-02
162.962      	4.729070e-02
195.541      	5.875410e-02
234.619      	7.356510e-02
281.499      	9.305050e-02
337.748      	1.191310e-01
405.195      	1.543470e-01
486.093      	2.008280e-01
583.062      	2.479040e-01
693.083      	2.157180e-01
816.049      	1.127630e-01
960.13       	3.900990e-02
1132.74      	4.754220e-02
1339.69      	5.937850e-02
1587.68      	7.382220e-02
1884.23      	9.111340e-02
2239.34      	1.561660e-01
2664.39      	1.941270e-01
3171.88      	2.166740e-01
3360.61      	1.477100e-01
3556.92      	3.418680e-02
3776.08      	3.160080e-02
4022.72      	3.819560e-02
4302.91      	4.714170e-02
4623.6       	5.936710e-02
4993.63      	7.464190e-02
5422.09      	9.476110e-02
5921.95      	1.216450e-01
6447.95      	1.405000e-01
6973.95      	1.490290e-01
7373.08      	1.149640e-01
7733.93      	7.867580e-02
8112.13      	6.735010e-02
8530.79      	7.017830e-02
8997.07      	7.253630e-02
9513.09      	6.839940e-02
9915.64      	5.522440e-02
10350.2      	6.098620e-02
10834.6      	7.621980e-02
11359.4      	9.203900e-02
11884.1      	1.030820e-01
12408.9      	1.141960e-01
12933.6      	1.240100e-01
13458.4      	1.279010e-01
13983.2      	1.163940e-01
14500.4      	8.543710e-02
14992.9      	5.484590e-02
15499.3      	5.068650e-02
16024.5      	5.355420e-02
16549.7      	5.572860e-02
17074.9      	5.886620e-02
17600.1      	6.427560e-02
18125.3      	6.715240e-02
18650.5      	7.427660e-02
19175.7      	7.740930e-02
19700.8      	7.998900e-02
20226        	8.228220e-02
20751.2      	8.405860e-02
21276.4      	8.492390e-02
21801.6      	8.374690e-02
22326.8      	8.392060e-02
22852        	8.276690e-02
23377.2      	7.790880e-02
23902.4      	6.686870e-02
24427.6      	5.514550e-02
24952.7      	4.782510e-02
25477.9      	4.911670e-02
26003.1      	5.167250e-02
26528.3      	5.679660e-02
27053.5      	6.019350e-02
27578.7      	6.463670e-02
28103.9      	6.940910e-02
28629.1      	7.430060e-02
29154.3      	7.898070e-02
29679.5      	8.292200e-02
30204.6      	8.483450e-02
30729.8      	8.298270e-02
31255        	8.040350e-02
31780.2      	7.534860e-02
32305.4      	7.204900e-02
32830.6      	7.049470e-02
33355.8      	7.084120e-02
33881        	6.902030e-02
34406.2      	6.345190e-02
34931.4      	6.077050e-02
35456.5      	7.273200e-02
35932.7      	7.192090e-02
36391.4      	7.480830e-02
36846.1      	7.801670e-02
37304.9      	8.116980e-02
37772.5      	8.497900e-02
38258.8      	8.659340e-02
38770.9      	8.472210e-02
39277.6      	7.225950e-02
39706        	5.977680e-02
40119.2      	6.096710e-02
40528.8      	6.415440e-02
40934.7      	6.695160e-02
41340.6      	6.969640e-02
41746.6      	7.118130e-02
42156.2      	7.127180e-02
42565.9      	7.111980e-02
42983.4      	7.077370e-02
43413.2      	6.817810e-02
43865.7      	6.706730e-02
44343.6      	6.604490e-02
44850.4      	6.699480e-02
45327.9      	6.644990e-02
45800        	6.784210e-02
46266.7      	6.856010e-02
46728        	6.601880e-02
47178.8      	6.477670e-02
47624.5      	6.271690e-02
48075.4      	6.916200e-02
48526.3      	7.456400e-02
48988.1      	8.048510e-02
49455.8      	8.382430e-02
49935.6      	8.413410e-02
50442        	8.326570e-02
50963.2      	8.056030e-02
51484.3      	7.340900e-02
51997.8      	7.139080e-02
52511.2      	7.362630e-02
53024.7      	7.216620e-02
53546.2      	7.289090e-02
54067.7      	7.305720e-02
54589.2      	7.502530e-02
55110.6      	7.762200e-02
55623.6      	7.917620e-02
56136.5      	7.466440e-02
