# Residuals  
# Time       	p            
0.00012      	1.000000e+00
0.000264     	2.267890e-01
0.0004368    	2.293860e-02
0.00064416   	5.662990e-03
0.000892992  	1.827880e-03
0.00119159   	6.650520e-04
0.00154991   	2.590390e-04
0.00197989   	1.048910e-04
0.00249587   	4.294270e-05
0.00311504   	1.808170e-05
0.00385805   	7.888120e-06
0.00474966   	3.759760e-06
0.00581959   	2.118170e-06
0.00710351   	1.531220e-06
0.00864421   	1.406180e-06
0.0104931    	1.502010e-06
0.0127117    	1.722070e-06
0.015374     	2.031430e-06
0.0185688    	2.422330e-06
0.0224026    	2.900010e-06
0.0270031    	3.477010e-06
0.0325237    	4.171080e-06
0.0391484    	5.004720e-06
0.0470981    	6.005430e-06
0.0566377    	7.206430e-06
0.0680853    	8.647720e-06
0.0818223    	1.037730e-05
0.0983068    	1.245290e-05
0.118088     	1.494360e-05
0.141826     	1.793260e-05
0.170311     	2.151950e-05
0.204493     	2.582390e-05
0.245512     	3.098940e-05
0.294734     	3.718830e-05
0.353801     	4.462740e-05
0.424681     	5.355510e-05
0.509737     	6.426920e-05
0.611804     	7.712750e-05
0.734284     	9.255930e-05
0.881261     	1.110800e-04
1.05763      	1.333100e-04
1.26928      	1.599900e-04
1.52325      	1.920160e-04
1.82802      	2.304590e-04
2.19374      	2.766060e-04
2.6326       	3.320100e-04
3.15924      	3.985280e-04
3.7912       	4.784030e-04
4.54954      	5.743270e-04
5.45955      	6.895400e-04
6.55155      	8.279440e-04
7.86193      	9.942480e-04
9.43439      	1.194140e-03
11.3213      	1.434440e-03
13.5856      	1.723370e-03
16.3026      	2.070790e-03
19.563       	2.488860e-03
23.4754      	2.992210e-03
28.17        	3.598550e-03
33.8034      	4.329490e-03
40.5635      	5.211200e-03
48.6754      	6.275400e-03
58.4095      	7.560600e-03
70.0899      	9.113020e-03
84.1045      	1.098720e-02
100.92       	1.324890e-02
121.098      	1.597000e-02
145.306      	1.922040e-02
174.348      	2.305150e-02
209.187      	2.744600e-02
250.987      	3.220730e-02
301.131      	3.668250e-02
361.298      	3.929570e-02
433.479      	3.685050e-02
520.051      	2.516520e-02
623.896      	6.105770e-03
748.39       	2.784710e-02
897.609      	4.548850e-02
1076.48      	5.554050e-02
1290.86      	6.236740e-02
1547.99      	6.870790e-02
1855.43      	7.454330e-02
2223.01      	7.742020e-02
2663.73      	7.037350e-02
3177.45      	4.226120e-02
3747.47      	4.595070e-02
4364.28      	6.741520e-02
5053.65      	8.057780e-02
5835.83      	8.663260e-02
6730.99      	8.236730e-02
7714.55      	6.581920e-02
8579.23      	4.824460e-02
9539.98      	6.151870e-02
10607.5      	7.938900e-02
11791.7      	8.806410e-02
13124        	7.668350e-02
14217.7      	5.446820e-02
15328.2      	5.450400e-02
16553.6      	6.342740e-02
17896.8      	7.603750e-02
19354.3      	7.613220e-02
20530.5      	5.786570e-02
21728.2      	5.721660e-02
23048        	5.992750e-02
24487.8      	6.435360e-02
26035.6      	6.631810e-02
27472.9      	5.916380e-02
28782.4      	6.199220e-02
30187.7      	6.339230e-02
31706.9      	6.449690e-02
33269.6      	5.995640e-02
34832.2      	5.357970e-02
36226        	5.148890e-02
37701.7      	6.101280e-02
39223.5      	6.485210e-02
40908.4      	6.506000e-02
42593.2      	5.236280e-02
44103.8      	4.822580e-02
45614.4      	5.274230e-02
47245.8      	5.969390e-02
48948.2      	6.512830e-02
50731.6      	6.113470e-02
52430.1      	5.004520e-02
53974.2      	4.446430e-02
55595.5      	5.245430e-02
57306.8      	5.800450e-02
59125.2      	6.115280e-02
60943.5      	5.540600e-02
62640.6      	4.895650e-02
64337.7      	4.839110e-02
66176.2      	5.254480e-02
68014.7      	5.549860e-02
69853.3      	5.436950e-02
71691.8      	5.068890e-02
73326        	4.587580e-02
74960.3      	4.737120e-02
76594.5      	4.758490e-02
78228.8      	4.543220e-02
79863        	4.398480e-02
81497.3      	4.110190e-02
83131.5      	3.984230e-02
84765.8      	4.215570e-02
86400        	4.475470e-02
88238.3      	5.223510e-02
90204.8      	5.433510e-02
92171.4      	4.848290e-02
94138        	4.303600e-02
96104.5      	4.299830e-02
98071.1      	4.671100e-02
