# Residuals  
# Time       	p            
0.00012      	1.000000e+00
0.000264     	2.267870e-01
0.0004368    	2.293870e-02
0.00064416   	5.663010e-03
0.000892992  	1.827890e-03
0.00119159   	6.650560e-04
0.00154991   	2.590400e-04
0.00197989   	1.048920e-04
0.00249587   	4.294290e-05
0.00311504   	1.808180e-05
0.00385805   	7.888160e-06
0.00474966   	3.759770e-06
0.00581959   	2.118180e-06
0.00710351   	1.531220e-06
0.00864421   	1.406180e-06
0.0104931    	1.502020e-06
0.0127117    	1.722080e-06
0.015374     	2.031440e-06
0.0185688    	2.422340e-06
0.0224026    	2.900020e-06
0.0270031    	3.477030e-06
0.0325237    	4.171100e-06
0.0391484    	5.004750e-06
0.0470981    	6.005460e-06
0.0566377    	7.206470e-06
0.0680853    	8.647770e-06
0.0818223    	1.037740e-05
0.0983068    	1.245300e-05
0.118088     	1.494370e-05
0.141826     	1.793270e-05
0.170311     	2.151960e-05
0.204493     	2.582400e-05
0.245512     	3.098950e-05
0.294734     	3.718850e-05
0.353801     	4.462770e-05
0.424681     	5.355530e-05
0.509737     	6.426950e-05
0.611804     	7.712790e-05
0.734284     	9.255990e-05
0.881261     	1.110810e-04
1.05763      	1.333100e-04
1.26928      	1.599920e-04
1.52325      	1.920180e-04
1.82802      	2.304610e-04
2.19374      	2.766090e-04
2.6326       	3.320140e-04
3.15924      	3.985340e-04
3.7912       	4.784120e-04
4.54954      	5.743420e-04
5.45955      	6.895650e-04
6.55155      	8.279850e-04
7.86193      	9.943160e-04
9.43439      	1.194250e-03
11.3213      	1.434640e-03
13.5856      	1.723700e-03
16.3026      	2.071360e-03
19.563       	2.489840e-03
23.4754      	2.993910e-03
28.17        	3.601520e-03
33.8034      	4.334690e-03
40.5635      	5.220350e-03
48.6754      	6.291570e-03
58.4095      	7.589350e-03
70.0899      	9.164470e-03
84.1045      	1.108000e-02
100.92       	1.341780e-02
121.098      	1.628060e-02
145.306      	1.979930e-02
174.348      	2.414640e-02
209.187      	2.955240e-02
250.987      	3.633610e-02
301.131      	4.492000e-02
361.298      	5.592670e-02
433.479      	7.022700e-02
520.051      	8.912080e-02
623.896      	1.145660e-01
748.39       	1.491080e-01
897.609      	1.941180e-01
1076.48      	2.334220e-01
1254.99      	1.810650e-01
1457.23      	6.587510e-02
1695.83      	2.932570e-02
1982         	3.727850e-02
2325.16      	4.657790e-02
2735.28      	5.783580e-02
3224.55      	9.498050e-02
3810.29      	1.273160e-01
4510.2       	1.696420e-01
5305.25      	1.949240e-01
5650.33      	1.331460e-01
6034.86      	5.664390e-02
6392.03      	4.408840e-02
6765.9       	2.864320e-02
7182.84      	3.428340e-02
7651.58      	4.194920e-02
8183.66      	5.206700e-02
8794.72      	6.573270e-02
9500.23      	8.301970e-02
10318.3      	1.033910e-01
11269.3      	1.214640e-01
12005.9      	1.102970e-01
12647.2      	9.345030e-02
13242        	7.481130e-02
13851.7      	6.566030e-02
14517.2      	5.421730e-02
15147.8      	5.095340e-02
15713.3      	4.939600e-02
16274.3      	5.326660e-02
16839.8      	6.073990e-02
17414.7      	6.511380e-02
18004.3      	6.958780e-02
18609.6      	7.426050e-02
19249.1      	7.597860e-02
19941.4      	7.514970e-02
20556.8      	6.617520e-02
21155.3      	6.884980e-02
21765.1      	7.229440e-02
22380.7      	6.929840e-02
22996.2      	6.232070e-02
23605.9      	6.653940e-02
24227.6      	8.066830e-02
24855.6      	8.328840e-02
25490.1      	7.932910e-02
26131.3      	7.397440e-02
26800.9      	6.994520e-02
27527.7      	5.728340e-02
28167.6      	4.194750e-02
28800.6      	4.518260e-02
