# Residuals  
# Time       	p            
0.00012      	1.000000e+00
0.000264     	4.619130e-02
0.0004368    	1.204360e-03
0.00064416   	3.605580e-05
0.000892992  	1.225320e-06
0.00119159   	1.843340e-01
0.00154991   	8.502880e-01
0.00197989   	1.436550e-02
0.00249587   	9.977640e-01
0.00311504   	9.981580e-01
0.00385805   	9.847920e-01
0.00474966   	9.972370e-01
0.00581959   	9.974970e-01
0.00710351   	9.493720e-01
0.00864421   	9.572520e-01
0.0104931    	9.906020e-01
0.0127117    	9.971670e-01
0.015374     	9.654480e-01
0.0185688    	9.978140e-01
0.0224026    	9.574640e-01
0.0270031    	9.938490e-01
0.0325237    	9.974120e-01
0.0391484    	9.942100e-01
0.0470981    	9.970500e-01
0.0566377    	9.948160e-01
0.0680853    	9.451890e-01
0.0818223    	9.942990e-01
0.0983068    	9.295160e-01
0.118088     	9.470220e-01
0.141826     	9.311970e-01
0.169684     	9.965250e-01
0.203115     	9.984530e-01
0.203115     	9.980560e-01
