# Residuals  
# Time       	p            
0.0012       	1.000000e+00
0.00264      	4.570090e-02
0.004368     	1.203410e-03
0.0064416    	3.649900e-05
0.00892992   	3.649280e-06
0.0119159    	3.268370e-06
0.0154991    	3.890920e-06
0.0197989    	4.668340e-06
0.0249587    	5.602000e-06
0.0311504    	6.722420e-06
0.0385805    	8.066940e-06
0.0474966    	9.680380e-06
0.0581959    	1.161650e-05
0.0710351    	1.393990e-05
0.0864421    	1.672810e-05
0.104931     	2.007390e-05
0.127117     	2.408900e-05
0.15374      	2.890720e-05
0.185688     	3.468930e-05
0.224025     	4.162810e-05
0.270031     	4.995510e-05
0.325237     	5.994800e-05
0.391484     	7.194040e-05
0.47098      	8.633250e-05
0.566376     	1.036050e-04
0.680851     	1.243340e-04
0.818221     	1.492120e-04
0.983065     	1.790720e-04
1.18088      	2.149110e-04
1.41825      	2.579290e-04
1.7031       	3.095660e-04
2.04492      	3.715530e-04
2.4551       	4.459700e-04
2.94731      	5.353170e-04
3.53797      	6.426010e-04
4.24675      	7.714380e-04
5.09729      	9.261850e-04
6.11793      	1.112080e-03
7.34268      	1.335450e-03
8.81237      	1.603910e-03
10.576       	1.926650e-03
12.6923      	2.314840e-03
15.2318      	2.781470e-03
18.2792      	3.343050e-03
21.936       	4.019290e-03
26.324       	4.834050e-03
31.5894      	5.816710e-03
37.9075      	7.002910e-03
45.4891      	8.437120e-03
54.5868      	1.017320e-02
65.5027      	1.227790e-02
78.6016      	1.483700e-02
94.3192      	1.795500e-02
113.18       	2.176760e-02
135.809      	2.644480e-02
162.962      	3.221340e-02
195.541      	3.936810e-02
234.619      	4.829160e-02
281.499      	5.954460e-02
337.748      	7.388940e-02
405.195      	9.234610e-02
486.093      	1.165510e-01
583.062      	1.487020e-01
699.345      	1.920460e-01
838.696      	2.490170e-01
1005.81      	3.093380e-01
1199.89      	2.865850e-01
1410.78      	1.518980e-01
1657.12      	3.969960e-02
1952.39      	4.601550e-02
2305.73      	5.768860e-02
2728.32      	7.203670e-02
3232.36      	1.269120e-01
3835.03      	1.725650e-01
4552.98      	2.296790e-01
5355.4       	2.557630e-01
5717.21      	1.699850e-01
6120.62      	7.247150e-02
6474.28      	5.091790e-02
6862.27      	3.769490e-02
7294.54      	4.535850e-02
7782.84      	5.617410e-02
8340.41      	7.071160e-02
8980.24      	8.990070e-02
9717.57      	1.137450e-01
10569.6      	1.398580e-01
11554.4      	1.579660e-01
12205.2      	1.371090e-01
12873.7      	1.192950e-01
13466.6      	9.234210e-02
14095.4      	8.134680e-02
14764.8      	6.478050e-02
15356.9      	6.466950e-02
15916.3      	6.523680e-02
16480.1      	7.113020e-02
17048.6      	8.180950e-02
17631.4      	8.820940e-02
18224.2      	9.381280e-02
18838.4      	9.900340e-02
19494.3      	9.957120e-02
20206.1      	1.003150e-01
20802.4      	8.843410e-02
21404.3      	9.508240e-02
22017.4      	9.754050e-02
22636.5      	8.739410e-02
23255.5      	8.521040e-02
23868.6      	9.976130e-02
24493.9      	1.098620e-01
25125.6      	1.100120e-01
25763.9      	1.013940e-01
26415.9      	9.419970e-02
27105.4      	8.660460e-02
27846.5      	6.730410e-02
28476.1      	5.834600e-02
29127        	6.558840e-02
29808.8      	7.565500e-02
30516.2      	8.612530e-02
31242        	9.691920e-02
31977.4      	1.064980e-01
32712.8      	1.142250e-01
33448.3      	1.193330e-01
34173.6      	1.186260e-01
34889.1      	1.138820e-01
35604.5      	1.112330e-01
36340.7      	1.126680e-01
37110.8      	1.095300e-01
37918.8      	9.277780e-02
38676.3      	7.270390e-02
39378.2      	6.503270e-02
40149        	7.352390e-02
40946.4      	8.316690e-02
41788.2      	9.533530e-02
42646.1      	1.057710e-01
43539        	1.183310e-01
44451        	1.296220e-01
45362.9      	1.369220e-01
46295.6      	1.390260e-01
47207        	1.264460e-01
48023.6      	1.098570e-01
48895.7      	1.088150e-01
49729.2      	9.520860e-02
50623.6      	9.237770e-02
51496.2      	9.301870e-02
52368.8      	8.590370e-02
53160.2      	7.968300e-02
53991.2      	8.593150e-02
54917.2      	1.022940e-01
55932.7      	1.194130e-01
57061.2      	1.359330e-01
58039.1      	1.254160e-01
58954        	1.198450e-01
59900.4      	1.158980e-01
60783.7      	1.058110e-01
61667        	1.067790e-01
62618.3      	1.113990e-01
63609.2      	1.074830e-01
64453.3      	8.965310e-02
65331.2      	9.283180e-02
66288.9      	1.062390e-01
67347.3      	1.127320e-01
68254.6      	1.020650e-01
69118.7      	9.914510e-02
70078.7      	1.039300e-01
71038.8      	9.788700e-02
71942.4      	9.458950e-02
72906.3      	1.050890e-01
73944.2      	1.136610e-01
75076.6      	1.144360e-01
76020.2      	1.002770e-01
76963.8      	1.039430e-01
78012.3      	1.154490e-01
79060.7      	1.147740e-01
80109.2      	1.111350e-01
81007.9      	9.969160e-02
81906.6      	1.037970e-01
82805.3      	1.053950e-01
83703.9      	1.001340e-01
84602.6      	8.962780e-02
85501.3      	7.640390e-02
86400        	7.433650e-02
87393.1      	8.467270e-02
88502.3      	1.001220e-01
89742        	1.167640e-01
91126.3      	1.289230e-01
92309.9      	1.130100e-01
93383.1      	1.107580e-01
94568.5      	1.261550e-01
95872.3      	1.389070e-01
97221.9      	1.353400e-01
98301.6      	1.018300e-01
99365.9      	9.967370e-02
100400       	9.784190e-02
101531       	9.668940e-02
102611       	8.414400e-02
103675       	8.183830e-02
