# Residuals  
# Time       	p            
0.0012       	1.000000e+00
0.00264      	4.608430e-02
0.004368     	1.202210e-03
0.0064416    	3.652650e-05
0.00892992   	3.645510e-06
0.0119159    	3.265960e-06
0.0154991    	3.888070e-06
0.0197989    	4.664920e-06
0.0249587    	5.597900e-06
0.0311504    	6.717510e-06
0.0385805    	8.061040e-06
0.0474966    	9.673300e-06
0.0581959    	1.160800e-05
0.0710351    	1.392970e-05
0.0864421    	1.671580e-05
0.104931     	2.005920e-05
0.127117     	2.407140e-05
0.15374      	2.888610e-05
0.185688     	3.466400e-05
0.224025     	4.159770e-05
0.270031     	4.991860e-05
0.325237     	5.990420e-05
0.391484     	7.188780e-05
0.47098      	8.626940e-05
0.566376     	1.035290e-04
0.680851     	1.242430e-04
0.818221     	1.491030e-04
0.983065     	1.789410e-04
1.18088      	2.147540e-04
1.41825      	2.577410e-04
1.7031       	3.093400e-04
2.04492      	3.712820e-04
2.4551       	4.456440e-04
2.94731      	5.349260e-04
3.53797      	6.421310e-04
4.24675      	7.708740e-04
5.09729      	9.255070e-04
6.11793      	1.111270e-03
7.34268      	1.334470e-03
8.81237      	1.602730e-03
10.576       	1.925240e-03
12.6923      	2.313150e-03
15.2318      	2.779440e-03
18.2792      	3.340600e-03
21.936       	4.016350e-03
26.324       	4.830520e-03
31.5894      	5.812450e-03
37.9075      	6.997790e-03
45.4891      	8.430950e-03
54.5868      	1.016580e-02
65.5027      	1.226890e-02
78.6016      	1.482610e-02
94.3192      	1.794190e-02
113.18       	2.175180e-02
135.809      	2.642550e-02
162.962      	3.218990e-02
195.541      	3.933940e-02
234.619      	4.825640e-02
281.499      	5.950130e-02
337.748      	7.383580e-02
405.195      	9.227930e-02
486.093      	1.164670e-01
583.062      	1.485960e-01
699.345      	1.919100e-01
838.696      	2.488450e-01
1005.81      	3.091370e-01
1199.89      	2.864300e-01
1410.78      	1.518370e-01
1657.12      	3.968620e-02
1952.39      	4.599970e-02
2305.73      	5.766820e-02
2728.32      	7.201060e-02
3232.36      	1.268470e-01
3835.03      	1.724720e-01
4552.98      	2.295530e-01
5355.4       	2.556310e-01
5717.21      	1.699020e-01
6120.62      	7.244000e-02
6474.28      	5.089640e-02
6862.27      	3.767930e-02
7294.54      	4.533940e-02
7782.84      	5.614970e-02
8340.41      	7.067990e-02
8980.24      	8.985880e-02
9717.57      	1.136910e-01
10569.6      	1.397910e-01
11554.4      	1.578870e-01
12205.2      	1.370360e-01
12867.7      	1.186130e-01
13460.7      	9.242190e-02
14089.5      	8.151730e-02
14759        	6.472400e-02
15351.1      	6.461450e-02
15910.5      	6.515410e-02
16474.5      	7.104890e-02
17043        	8.173060e-02
17625.8      	8.812820e-02
18218.7      	9.372490e-02
18832.9      	9.896320e-02
19488.9      	9.958220e-02
20200.7      	1.002860e-01
20797.1      	8.833220e-02
21399        	9.500170e-02
22012.2      	9.752150e-02
22631.3      	8.750830e-02
23250.4      	8.512670e-02
23863.5      	9.958540e-02
24488.9      	1.097670e-01
25120.6      	1.100090e-01
25759        	1.014330e-01
26411        	9.425510e-02
27100.5      	8.672750e-02
27841.8      	6.741140e-02
28471.4      	5.827800e-02
29122.3      	6.550590e-02
29804.2      	7.556540e-02
30511.7      	8.602540e-02
31237.5      	9.680940e-02
31973        	1.063890e-01
32708.5      	1.141210e-01
33444        	1.192520e-01
34169.4      	1.185700e-01
34884.9      	1.138450e-01
35600.4      	1.111850e-01
36326.1      	1.114940e-01
37084.8      	1.086720e-01
37893.2      	9.188870e-02
38663.2      	7.344090e-02
39365.2      	6.518300e-02
40123.8      	7.233160e-02
40921.7      	8.287880e-02
41763.9      	9.506890e-02
42622.3      	1.054910e-01
43497.8      	1.162380e-01
44391.6      	1.272290e-01
45304.8      	1.366330e-01
46238.8      	1.394060e-01
47172.8      	1.292880e-01
47990        	1.101470e-01
48863        	1.091090e-01
49679        	9.411120e-02
50553.3      	9.103810e-02
51427.6      	9.330680e-02
