# Residuals  
# Time       	p            
0.00012      	1.000000e+00
0.000264     	2.247700e-01
0.0004368    	3.042620e-03
0.00064416   	2.102490e-04
0.000892992  	1.309790e-05
0.00119159   	1.455870e-06
0.00154991   	3.701300e-07
0.00197989   	3.341600e-07
0.00249587   	3.904970e-07
0.00311504   	4.676880e-07
0.00385805   	5.611430e-07
0.00474966   	6.733660e-07
0.00581959   	8.080390e-07
0.00710351   	9.696470e-07
0.00864421   	1.163580e-06
0.0104931    	1.396290e-06
0.0127117    	1.675560e-06
0.015374     	2.010670e-06
0.0185688    	2.412810e-06
0.0224026    	2.895370e-06
0.0270031    	3.474460e-06
0.0325237    	4.169360e-06
0.0391484    	5.003250e-06
0.0470981    	6.003930e-06
0.0566377    	7.204760e-06
0.0680853    	8.645760e-06
0.0818223    	1.037500e-05
0.0983068    	1.245010e-05
0.118088     	1.494030e-05
0.141826     	1.792860e-05
0.170311     	2.151470e-05
0.204493     	2.581810e-05
0.245512     	3.098240e-05
0.294734     	3.718000e-05
0.353801     	4.461740e-05
0.424681     	5.354310e-05
0.509737     	6.425480e-05
0.611804     	7.711030e-05
0.734284     	9.253870e-05
0.881261     	1.110560e-04
1.05763      	1.332800e-04
1.26928      	1.599550e-04
1.52325      	1.919740e-04
1.82802      	2.304080e-04
2.19374      	2.765460e-04
2.6326       	3.319380e-04
3.15924      	3.984430e-04
3.7912       	4.783030e-04
4.54954      	5.742110e-04
5.45955      	6.894070e-04
6.55155      	8.277960e-04
7.86193      	9.940890e-04
9.43439      	1.193980e-03
11.3213      	1.434310e-03
13.5856      	1.723310e-03
16.3026      	2.070890e-03
19.563       	2.489270e-03
23.4754      	2.993230e-03
28.17        	3.600700e-03
33.8034      	4.333710e-03
40.5635      	5.219160e-03
48.6754      	6.290140e-03
58.4095      	7.587630e-03
70.0899      	9.162390e-03
84.1045      	1.107750e-02
100.92       	1.341470e-02
121.098      	1.627700e-02
145.306      	1.979480e-02
174.348      	2.414100e-02
209.187      	2.954590e-02
250.987      	3.632810e-02
301.131      	4.491010e-02
361.298      	5.591450e-02
433.479      	7.021180e-02
520.051      	8.910190e-02
623.896      	1.145420e-01
748.39       	1.490780e-01
897.609      	1.940810e-01
1076.48      	2.333840e-01
1254.99      	1.810520e-01
1457.23      	6.590430e-02
1695.83      	2.934410e-02
1982         	3.728370e-02
2325.16      	4.658570e-02
2735.28      	5.784560e-02
3224.55      	9.497440e-02
3810.29      	1.273180e-01
4510.2       	1.696430e-01
5305.25      	1.949220e-01
5650.33      	1.331430e-01
6034.86      	5.665630e-02
6392.03      	4.410120e-02
6765.9       	2.865490e-02
7182.84      	3.428890e-02
7651.58      	4.195170e-02
8183.66      	5.206830e-02
8794.72      	6.573410e-02
9500.23      	8.302180e-02
10318.3      	1.033950e-01
11269.3      	1.214700e-01
12005.9      	1.103450e-01
12647.2      	9.346760e-02
13242        	7.482620e-02
13851.7      	6.567430e-02
14517.2      	5.423010e-02
15147.8      	5.096840e-02
