# Residuals  
# Time       	p            
0.0012       	1.000000e+00
0.00264      	4.431050e-01
0.004368     	2.514370e-02
0.0064416    	5.037280e-03
0.00892992   	8.928050e-04
0.0119159    	2.155470e-04
0.0154991    	4.771120e-05
0.0197989    	1.468080e-05
0.0249587    	5.315320e-06
0.0311504    	3.758730e-06
0.0385805    	3.642930e-06
0.0474966    	4.179380e-06
0.0581959    	4.946560e-06
0.0710351    	5.919970e-06
0.0864421    	7.098210e-06
0.104931     	8.516520e-06
0.127117     	1.021940e-05
0.15374      	1.226340e-05
0.185688     	1.471620e-05
0.224025     	1.765980e-05
0.270031     	2.119230e-05
0.325237     	2.543160e-05
0.391484     	3.051900e-05
0.47098      	3.662440e-05
0.566376     	4.395160e-05
0.680851     	5.274520e-05
0.818221     	6.329900e-05
0.983065     	7.596570e-05
1.18088      	9.116870e-05
1.41825      	1.094170e-04
1.7031       	1.313210e-04
2.04492      	1.576140e-04
2.4551       	1.891800e-04
2.94731      	2.270770e-04
3.53797      	2.725800e-04
4.24675      	3.272210e-04
5.09729      	3.928470e-04
6.11793      	4.716770e-04
7.34268      	5.663850e-04
8.81237      	6.801990e-04
10.576       	8.170000e-04
12.6923      	9.815080e-04
15.2318      	1.179310e-03
18.2792      	1.417300e-03
21.936       	1.703800e-03
26.324       	2.048820e-03
31.5894      	2.464630e-03
37.9075      	2.966020e-03
45.4891      	3.571230e-03
54.5868      	4.301960e-03
65.5027      	5.184410e-03
78.6016      	6.251020e-03
94.3192      	7.538690e-03
113.18       	9.090470e-03
135.809      	1.095030e-02
162.962      	1.315820e-02
195.541      	1.572470e-02
234.619      	1.857550e-02
281.499      	2.145170e-02
337.748      	2.364510e-02
405.195      	2.358970e-02
486.093      	1.877180e-02
583.062      	7.800240e-03
699.345      	1.160380e-02
838.696      	2.480170e-02
1005.81      	3.260600e-02
1206.26      	3.743950e-02
1446.25      	4.143900e-02
1733.25      	4.534340e-02
2077.43      	4.840200e-02
2488.76      	4.694040e-02
2979.46      	3.450820e-02
3528.28      	2.464100e-02
4111.89      	3.630450e-02
4759.82      	4.715820e-02
5488.76      	5.271630e-02
6322.89      	5.360820e-02
7276.19      	4.681920e-02
8145.68      	2.938060e-02
9045.16      	3.276080e-02
10036.9      	4.400490e-02
11143.6      	5.278140e-02
12377.3      	5.229740e-02
13631.9      	4.128180e-02
14702.1      	3.309590e-02
15858.5      	3.446690e-02
17141        	4.383340e-02
18526.2      	4.845860e-02
19857.1      	4.238310e-02
21024.5      	3.495310e-02
22281.7      	3.650640e-02
23617.5      	3.712510e-02
25077.6      	4.005200e-02
26649.9      	4.023180e-02
27977.7      	3.623760e-02
29305.5      	3.798800e-02
30769.5      	4.059510e-02
32273        	3.774740e-02
33913.2      	3.716730e-02
35331.8      	3.108690e-02
36712        	3.310890e-02
38217.7      	4.002800e-02
39823.8      	4.152490e-02
41548.8      	3.878080e-02
43273.9      	3.239210e-02
44761        	3.095980e-02
46303.2      	3.417070e-02
47973.9      	3.907280e-02
49720.5      	4.114570e-02
51554.5      	3.536050e-02
53138.4      	2.808260e-02
54722.2      	2.964500e-02
56389.5      	3.473040e-02
58154.8      	3.744170e-02
60037.8      	3.798990e-02
61920.8      	3.452590e-02
63552.8      	2.918100e-02
65310.3      	3.061790e-02
67067.7      	3.238950e-02
69001        	3.636770e-02
70934.2      	3.375870e-02
72652.6      	2.991240e-02
74371        	3.046600e-02
76089.5      	3.098780e-02
77807.9      	2.985480e-02
79526.3      	2.872710e-02
81244.7      	2.714040e-02
82963.2      	2.577490e-02
84681.6      	2.715540e-02
86400        	2.895260e-02
88320        	3.381440e-02
90284.7      	3.359690e-02
92249.3      	3.005330e-02
94214        	2.643920e-02
96178.6      	2.651160e-02
98143.3      	2.900450e-02
100108       	3.080250e-02
102073       	3.222900e-02
104037       	3.146820e-02
106002       	2.797670e-02
107967       	2.605250e-02
109931       	2.613930e-02
111896       	2.731090e-02
113860       	2.822720e-02
115825       	2.799290e-02
117790       	2.723490e-02
119754       	2.682030e-02
121719       	2.690140e-02
123684       	2.711040e-02
125648       	2.677580e-02
127613       	2.679370e-02
129578       	2.586620e-02
131542       	2.367860e-02
133507       	2.317890e-02
135472       	2.443090e-02
137436       	2.599260e-02
139401       	2.717850e-02
141366       	2.697510e-02
143330       	2.580940e-02
145295       	2.381630e-02
147260       	2.246910e-02
149224       	2.171050e-02
151189       	2.247890e-02
153153       	2.374910e-02
155118       	2.494450e-02
157083       	2.555900e-02
159047       	2.460200e-02
161012       	2.262810e-02
162977       	2.228600e-02
164941       	2.218410e-02
166906       	2.248590e-02
168871       	2.283100e-02
170835       	2.268760e-02
172800       	2.259650e-02
174764       	2.223330e-02
176727       	2.136670e-02
178691       	2.110400e-02
180655       	2.158900e-02
182618       	2.220160e-02
184582       	2.271070e-02
186545       	2.302140e-02
188509       	2.255600e-02
190473       	2.105750e-02
192436       	1.954980e-02
194400       	1.927310e-02
196364       	1.972150e-02
198327       	2.036860e-02
200291       	2.121980e-02
202255       	2.183240e-02
204218       	2.190730e-02
206182       	2.177340e-02
208145       	2.088660e-02
210109       	1.969820e-02
212073       	1.883710e-02
214036       	1.898980e-02
216000       	1.932460e-02
217964       	1.974140e-02
219927       	2.033430e-02
221891       	2.043300e-02
223855       	2.011370e-02
225818       	1.943650e-02
227782       	1.886050e-02
229745       	1.897920e-02
231709       	1.894040e-02
233673       	1.940220e-02
235636       	1.973000e-02
237600       	1.974230e-02
239564       	1.962060e-02
241527       	1.917690e-02
243491       	1.843650e-02
245455       	1.739730e-02
247418       	1.718380e-02
249382       	1.775490e-02
251345       	1.826530e-02
253309       	1.878240e-02
255273       	1.927930e-02
257236       	1.953860e-02
259200       	1.941140e-02
261164       	1.883710e-02
263127       	1.804000e-02
265091       	1.714840e-02
267055       	1.686780e-02
269018       	1.656770e-02
270982       	1.701810e-02
272945       	1.756600e-02
274909       	1.806520e-02
276873       	1.836140e-02
278836       	1.842960e-02
280800       	1.803090e-02
282764       	1.730500e-02
284727       	1.691240e-02
286691       	1.684780e-02
288655       	1.713430e-02
290618       	1.726460e-02
292582       	1.728870e-02
294545       	1.731310e-02
296509       	1.719310e-02
298473       	1.715590e-02
300436       	1.691380e-02
302400       	1.654330e-02
304364       	1.600820e-02
306327       	1.589390e-02
308291       	1.586550e-02
310255       	1.621910e-02
312218       	1.690150e-02
314182       	1.729500e-02
316145       	1.759220e-02
318109       	1.763740e-02
320073       	1.725750e-02
322036       	1.649950e-02
324000       	1.552570e-02
325964       	1.495410e-02
327927       	1.501030e-02
329891       	1.524780e-02
331855       	1.549650e-02
333818       	1.577820e-02
335782       	1.616340e-02
337745       	1.640070e-02
339709       	1.663400e-02
341673       	1.670850e-02
343636       	1.644470e-02
345600       	1.592000e-02
