# Residuals  
# Time       	p            
0.0012       	1.000000e+00
0.00264      	4.431050e-01
0.004368     	2.514370e-02
0.0064416    	5.037280e-03
0.00892992   	8.928050e-04
0.0119159    	2.155470e-04
0.0154991    	4.771110e-05
0.0197989    	1.468080e-05
0.0249587    	5.315310e-06
0.0311504    	3.758720e-06
0.0385805    	3.642920e-06
0.0474966    	4.179380e-06
0.0581959    	4.946550e-06
0.0710351    	5.919960e-06
0.0864421    	7.098200e-06
0.104931     	8.516500e-06
0.127117     	1.021940e-05
0.15374      	1.226330e-05
0.185688     	1.471620e-05
0.224025     	1.765980e-05
0.270031     	2.119230e-05
0.325237     	2.543160e-05
0.391484     	3.051900e-05
0.47098      	3.662440e-05
0.566376     	4.395160e-05
0.680851     	5.274530e-05
0.818221     	6.329910e-05
0.983065     	7.596580e-05
1.18088      	9.116890e-05
1.41825      	1.094170e-04
1.7031       	1.313210e-04
2.04492      	1.576150e-04
2.4551       	1.891810e-04
2.94731      	2.270790e-04
3.53797      	2.725830e-04
4.24675      	3.272280e-04
5.09729      	3.928580e-04
6.11793      	4.716960e-04
7.34268      	5.664160e-04
8.81237      	6.802520e-04
10.576       	8.170930e-04
12.6923      	9.816680e-04
15.2318      	1.179580e-03
18.2792      	1.417780e-03
21.936       	1.704640e-03
26.324       	2.050280e-03
31.5894      	2.467190e-03
37.9075      	2.970530e-03
45.4891      	3.579190e-03
54.5868      	4.316090e-03
65.5027      	5.209640e-03
78.6016      	6.296410e-03
94.3192      	7.621030e-03
113.18       	9.241380e-03
135.809      	1.123020e-02
162.962      	1.368490e-02
195.541      	1.673200e-02
234.619      	2.053690e-02
281.499      	2.534270e-02
337.748      	3.148250e-02
405.195      	3.940780e-02
486.093      	4.985320e-02
583.062      	6.384400e-02
699.345      	8.300320e-02
838.696      	1.090980e-01
1005.81      	1.401630e-01
1199.89      	1.427620e-01
1410.78      	8.679610e-02
1657.12      	2.438460e-02
1952.39      	2.807770e-02
2305.73      	3.479960e-02
2728.32      	4.299970e-02
3232.36      	6.483430e-02
3835.03      	8.600240e-02
4552.98      	1.138470e-01
5355.4       	1.303400e-01
5717.21      	8.845940e-02
6120.62      	4.018060e-02
6474.28      	2.876200e-02
6862.27      	2.142880e-02
7294.54      	2.558650e-02
7782.84      	3.126000e-02
8340.41      	3.874320e-02
8980.24      	4.852350e-02
9717.57      	6.068380e-02
10569.6      	7.445690e-02
11554.4      	8.461060e-02
12205.2      	6.877380e-02
12867.7      	5.970680e-02
13460.7      	4.657970e-02
14089.5      	4.147410e-02
14759        	3.333220e-02
15351.1      	3.356340e-02
15910.5      	3.401310e-02
16474.5      	3.723180e-02
17043        	4.150150e-02
17625.8      	4.469430e-02
18218.7      	4.752200e-02
18832.9      	5.006770e-02
19488.9      	5.000020e-02
20200.7      	4.947320e-02
20797.1      	4.275810e-02
21399        	4.563360e-02
22012.2      	4.685170e-02
22631.3      	4.237800e-02
23250.4      	4.188720e-02
23863.5      	4.808160e-02
24488.9      	5.351880e-02
