# Residuals  
# Time       	p            
0.0012       	1.000000e+00
0.00264      	3.238930e-01
0.004368     	2.494970e-02
0.0064416    	5.524620e-03
0.00892992   	1.716410e-03
0.0119159    	5.945470e-04
0.0154991    	2.243270e-04
0.0197989    	8.930760e-05
0.0249587    	3.752560e-05
0.0311504    	1.765470e-05
0.0385805    	1.020570e-05
0.0474966    	7.810690e-06
0.0581959    	7.557300e-06
0.0710351    	8.318800e-06
0.0864421    	9.669660e-06
0.104931     	1.147210e-05
0.127117     	1.371080e-05
0.15374      	1.642950e-05
0.185688     	1.970550e-05
0.224025     	2.364280e-05
0.270031     	2.837010e-05
0.325237     	3.404440e-05
0.391484     	4.085450e-05
0.47098      	4.902730e-05
0.566376     	5.883560e-05
0.680851     	7.060720e-05
0.818221     	8.473510e-05
0.983065     	1.016910e-04
1.18088      	1.220430e-04
1.41825      	1.464710e-04
1.7031       	1.757930e-04
2.04492      	2.109920e-04
2.4551       	2.532480e-04
2.94731      	3.039800e-04
3.53797      	3.648950e-04
4.24675      	4.380450e-04
5.09729      	5.259000e-04
6.11793      	6.314340e-04
7.34268      	7.582250e-04
8.81237      	9.105990e-04
10.576       	1.093750e-03
12.6923      	1.314010e-03
15.2318      	1.578800e-03
18.2792      	1.897400e-03
21.936       	2.280930e-03
26.324       	2.742790e-03
31.5894      	3.299400e-03
37.9075      	3.970540e-03
45.4891      	4.780620e-03
54.5868      	5.758680e-03
65.5027      	6.939730e-03
78.6016      	8.367180e-03
94.3192      	1.009030e-02
113.18       	1.216660e-02
135.809      	1.465480e-02
162.962      	1.760810e-02
195.541      	2.104030e-02
234.619      	2.485160e-02
281.499      	2.869490e-02
337.748      	3.162280e-02
405.195      	3.154260e-02
486.093      	2.509640e-02
583.062      	1.042690e-02
699.345      	1.545260e-02
838.696      	3.289770e-02
1005.81      	4.316850e-02
1206.26      	4.950330e-02
1446.25      	5.473210e-02
1733.25      	5.982310e-02
2077.43      	6.380140e-02
2488.76      	6.191250e-02
2979.46      	4.572070e-02
3528.28      	3.275000e-02
4111.89      	4.805760e-02
4759.82      	6.218840e-02
5488.76      	6.937780e-02
6322.89      	7.053010e-02
7276.19      	6.181200e-02
8145.68      	3.900160e-02
9045.16      	4.342750e-02
10036.9      	5.811190e-02
11143.6      	6.953250e-02
12377.3      	6.891390e-02
13631.9      	5.458490e-02
14702.1      	4.391000e-02
15858.5      	4.569540e-02
17141        	5.792860e-02
18526.2      	6.394770e-02
19857.1      	5.605030e-02
21024.5      	4.631730e-02
22281.7      	4.834000e-02
23617.5      	4.918300e-02
25077.6      	5.304330e-02
26649.9      	5.325220e-02
27977.7      	4.801600e-02
29305.5      	5.029810e-02
30769.5      	5.368980e-02
32273        	4.997750e-02
33913.2      	4.928440e-02
35331.8      	4.125450e-02
36712        	4.387790e-02
38217.7      	5.295650e-02
39823.8      	5.489780e-02
41548.8      	5.133020e-02
43273.9      	4.300590e-02
44761        	4.105890e-02
46303.2      	4.527440e-02
47973.9      	5.168400e-02
49720.5      	5.444710e-02
51554.5      	4.690150e-02
53138.4      	3.723420e-02
54722.2      	3.930230e-02
56389.5      	4.599880e-02
58154.8      	4.956930e-02
60037.8      	5.032860e-02
61920.8      	4.581730e-02
63552.8      	3.862970e-02
65310.3      	4.049460e-02
67067.7      	4.288150e-02
69001        	4.822370e-02
70934.2      	4.490230e-02
72652.6      	3.967980e-02
74371        	4.033580e-02
76089.5      	4.099470e-02
77807.9      	3.952140e-02
79526.3      	3.815350e-02
81244.7      	3.616140e-02
82963.2      	3.438010e-02
84681.6      	3.600180e-02
86400        	3.838280e-02
88320        	4.471480e-02
90284.7      	4.445840e-02
92249.3      	3.993880e-02
94214        	3.506680e-02
96178.6      	3.513080e-02
98143.3      	3.839810e-02
100108       	4.085150e-02
102073       	4.273220e-02
104037       	4.190630e-02
106002       	3.720380e-02
107967       	3.440800e-02
109931       	3.456900e-02
111896       	3.605170e-02
113860       	3.750610e-02
115825       	3.738300e-02
117790       	3.649370e-02
119754       	3.566500e-02
121719       	3.555980e-02
123684       	3.567880e-02
125648       	3.528070e-02
127613       	3.546100e-02
129578       	3.447130e-02
131542       	3.185750e-02
133507       	3.080740e-02
135472       	3.245870e-02
137436       	3.432550e-02
139401       	3.595290e-02
141366       	3.572440e-02
143330       	3.429260e-02
145295       	3.191560e-02
147260       	2.988390e-02
149224       	2.860050e-02
151189       	2.962870e-02
153153       	3.150160e-02
155118       	3.313360e-02
157083       	3.408770e-02
159047       	3.314510e-02
161012       	3.037390e-02
162977       	2.936740e-02
164941       	2.930290e-02
166906       	2.936160e-02
168871       	2.992610e-02
170835       	3.006980e-02
172800       	3.027450e-02
174764       	3.005090e-02
176727       	2.900150e-02
178691       	2.832790e-02
180655       	2.848690e-02
182618       	2.914230e-02
