# Residuals  
# Time       	p            
0.0012       	1.000000e+00
0.00264      	3.528450e-01
0.004368     	2.496470e-02
0.0064416    	5.559720e-03
0.00892992   	1.882710e-03
0.0119159    	6.707700e-04
0.0154991    	2.536300e-04
0.0197989    	9.875360e-05
0.0249587    	2.977350e-03
0.0311504    	5.431110e-04
0.0385805    	9.577310e-05
0.0474966    	3.848640e-05
0.0581959    	1.805480e-05
0.0710351    	1.216910e-05
0.0864421    	1.077090e-05
0.104931     	1.142270e-05
0.127117     	1.309010e-05
0.15374      	1.545420e-05
0.185688     	1.843890e-05
0.224025     	2.208220e-05
0.270031     	2.648010e-05
0.325237     	3.176880e-05
0.391484     	3.812050e-05
0.47098      	4.574500e-05
0.566376     	5.489620e-05
0.680851     	6.587930e-05
0.818221     	7.906110e-05
0.983065     	9.488190e-05
1.18088      	1.138710e-04
1.41825      	1.366630e-04
1.7031       	1.640210e-04
2.04492      	1.968630e-04
2.4551       	2.362890e-04
2.94731      	2.836240e-04
3.53797      	3.404590e-04
4.24675      	4.087100e-04
5.09729      	4.906810e-04
6.11793      	5.891460e-04
7.34268      	7.074440e-04
8.81237      	8.496100e-04
10.576       	1.020490e-03
12.6923      	1.225990e-03
15.2318      	1.473050e-03
18.2792      	1.770310e-03
21.936       	2.128160e-03
26.324       	2.559090e-03
31.5894      	3.078430e-03
37.9075      	3.704650e-03
45.4891      	4.460500e-03
54.5868      	5.373100e-03
65.5027      	6.475120e-03
78.6016      	7.807080e-03
94.3192      	9.414970e-03
113.18       	1.135250e-02
135.809      	1.367450e-02
162.962      	1.643060e-02
195.541      	1.963380e-02
234.619      	2.319110e-02
281.499      	2.677870e-02
337.748      	2.951260e-02
405.195      	2.943930e-02
486.093      	2.342390e-02
583.062      	9.732370e-03
699.345      	1.443780e-02
838.696      	3.076920e-02
1005.81      	4.039530e-02
1206.26      	4.633910e-02
1446.25      	5.124820e-02
1733.25      	5.603130e-02
2077.43      	5.977140e-02
2488.76      	5.799270e-02
2979.46      	4.277550e-02
3528.28      	3.061470e-02
4111.89      	4.497190e-02
4759.82      	5.825330e-02
5488.76      	6.502220e-02
6322.89      	6.610780e-02
7276.19      	5.788650e-02
8145.68      	3.647020e-02
9045.16      	4.062280e-02
10036.9      	5.441430e-02
11143.6      	6.515130e-02
12377.3      	6.456830e-02
13631.9      	5.109510e-02
14702.1      	4.106510e-02
15858.5      	4.274110e-02
17141        	5.423380e-02
18526.2      	5.989500e-02
19857.1      	5.246720e-02
21024.5      	4.332770e-02
22281.7      	4.522370e-02
23617.5      	4.601040e-02
25077.6      	4.963790e-02
26649.9      	4.984090e-02
27977.7      	4.492290e-02
29305.5      	4.705970e-02
30769.5      	5.024460e-02
32273        	4.675860e-02
33913.2      	4.611550e-02
35331.8      	3.858270e-02
36712        	4.104300e-02
38217.7      	4.956280e-02
39823.8      	5.138580e-02
41548.8      	4.803790e-02
43273.9      	4.022890e-02
44761        	3.839480e-02
46303.2      	4.235270e-02
47973.9      	4.837010e-02
49720.5      	5.097330e-02
51554.5      	4.389000e-02
53138.4      	3.480990e-02
54722.2      	3.674900e-02
56389.5      	4.303400e-02
58154.8      	4.639130e-02
60037.8      	4.711000e-02
61920.8      	4.287800e-02
63552.8      	3.611410e-02
65310.3      	3.785970e-02
67067.7      	4.010680e-02
69001        	4.513740e-02
70934.2      	4.203390e-02
72652.6      	3.711160e-02
74371        	3.771850e-02
76089.5      	3.833370e-02
77807.9      	3.695380e-02
79526.3      	3.568530e-02
81244.7      	3.383050e-02
82963.2      	3.216390e-02
84681.6      	3.366450e-02
86400        	3.589300e-02
88320        	4.182690e-02
90284.7      	4.158970e-02
92249.3      	3.736580e-02
94214        	3.278290e-02
96178.6      	3.284870e-02
98143.3      	3.590160e-02
100108       	3.821420e-02
102073       	3.998220e-02
104037       	3.922680e-02
106002       	3.480150e-02
107967       	3.215320e-02
109931       	3.230550e-02
111896       	3.368740e-02
113860       	3.508290e-02
115825       	3.499080e-02
117790       	3.417350e-02
119754       	3.335790e-02
121719       	3.323270e-02
123684       	3.332400e-02
125648       	3.295580e-02
127613       	3.314390e-02
129578       	3.225240e-02
131542       	2.983280e-02
133507       	2.879990e-02
135472       	3.035060e-02
137436       	3.207030e-02
139401       	3.360530e-02
141366       	3.339350e-02
143330       	3.206120e-02
145295       	2.986630e-02
147260       	2.793430e-02
149224       	2.670600e-02
151189       	2.768430e-02
153153       	2.944290e-02
155118       	3.097560e-02
157083       	3.188690e-02
159047       	3.104450e-02
161012       	2.844840e-02
162977       	2.741710e-02
164941       	2.736800e-02
166906       	2.739330e-02
168871       	2.791840e-02
170835       	2.809300e-02
172800       	2.832340e-02
174764       	2.814370e-02
176727       	2.720610e-02
178691       	2.650840e-02
180655       	2.660880e-02
182618       	2.718830e-02
184582       	2.763230e-02
186545       	2.825610e-02
188509       	2.790820e-02
190473       	2.653450e-02
192436       	2.493340e-02
194400       	2.398740e-02
196364       	2.456440e-02
198327       	2.491740e-02
200291       	2.602220e-02
202255       	2.700810e-02
204218       	2.697660e-02
206182       	2.724600e-02
208145       	2.662680e-02
210109       	2.492310e-02
212073       	2.329540e-02
214036       	2.307320e-02
216000       	2.346600e-02
217964       	2.407640e-02
219927       	2.496770e-02
221891       	2.554730e-02
223855       	2.558740e-02
225818       	2.511060e-02
227782       	2.405950e-02
229745       	2.347050e-02
231709       	2.356930e-02
233673       	2.329690e-02
235636       	2.364520e-02
237600       	2.386930e-02
239564       	2.392810e-02
241527       	2.395700e-02
243491       	2.381710e-02
245455       	2.283440e-02
247418       	2.184660e-02
249382       	2.183450e-02
251345       	2.247390e-02
253309       	2.281210e-02
255273       	2.338490e-02
257236       	2.391660e-02
259200       	2.409680e-02
261164       	2.369240e-02
263127       	2.305410e-02
265091       	2.203750e-02
267055       	2.082520e-02
269018       	2.062450e-02
270982       	2.026330e-02
272945       	2.126740e-02
274909       	2.197860e-02
276873       	2.252650e-02
278836       	2.292170e-02
280800       	2.311030e-02
282764       	2.292940e-02
284727       	2.220640e-02
286691       	2.112880e-02
288655       	2.072890e-02
290618       	2.051330e-02
292582       	2.031100e-02
294545       	2.018870e-02
296509       	2.072890e-02
298473       	2.124950e-02
300436       	2.159910e-02
302400       	2.166950e-02
304364       	2.150650e-02
306327       	2.082880e-02
308291       	2.009910e-02
310255       	2.009660e-02
312218       	2.016320e-02
314182       	2.053670e-02
316145       	2.092450e-02
318109       	2.080300e-02
320073       	2.076620e-02
322036       	2.047620e-02
324000       	2.041640e-02
325964       	2.009100e-02
327927       	1.969220e-02
329891       	1.908790e-02
331855       	1.889130e-02
333818       	1.895310e-02
335782       	1.903170e-02
337745       	1.975220e-02
339709       	2.048290e-02
341673       	2.077810e-02
343636       	2.093260e-02
345600       	2.095170e-02
347564       	2.040430e-02
349527       	1.949920e-02
351491       	1.849940e-02
353455       	1.784900e-02
355418       	1.798220e-02
357382       	1.807770e-02
359345       	1.842220e-02
361309       	1.863480e-02
363273       	1.877880e-02
365236       	1.941860e-02
367200       	1.998980e-02
369164       	2.018710e-02
371127       	2.005350e-02
373091       	1.980500e-02
375055       	1.915550e-02
377018       	1.835930e-02
378982       	1.781850e-02
380945       	1.748940e-02
382909       	1.735400e-02
384873       	1.786370e-02
386836       	1.821610e-02
388800       	1.835970e-02
390764       	1.855690e-02
392727       	1.861360e-02
394691       	1.867270e-02
396655       	1.868870e-02
398618       	1.847190e-02
400582       	1.813380e-02
402545       	1.793790e-02
404509       	1.791000e-02
406473       	1.793050e-02
408436       	1.785050e-02
410400       	1.776720e-02
412364       	1.781290e-02
414327       	1.794260e-02
416291       	1.801060e-02
418255       	1.799560e-02
420218       	1.787680e-02
422182       	1.757740e-02
424145       	1.720050e-02
426109       	1.672430e-02
428073       	1.662790e-02
430036       	1.695980e-02
432000       	1.716190e-02
433964       	1.741760e-02
435927       	1.769660e-02
437891       	1.782490e-02
439855       	1.805140e-02
441818       	1.822180e-02
443782       	1.802480e-02
445745       	1.772030e-02
447709       	1.737240e-02
449673       	1.704270e-02
451636       	1.651550e-02
453600       	1.593630e-02
455564       	1.573550e-02
457527       	1.567120e-02
459491       	1.593860e-02
461455       	1.626200e-02
463418       	1.671160e-02
465382       	1.713570e-02
467345       	1.733040e-02
469309       	1.747690e-02
471273       	1.787840e-02
473236       	1.796160e-02
475200       	1.770170e-02
477164       	1.718830e-02
479127       	1.672110e-02
481091       	1.605730e-02
483055       	1.541500e-02
485018       	1.524120e-02
486982       	1.510180e-02
488945       	1.525710e-02
490909       	1.553430e-02
492873       	1.573660e-02
494836       	1.612190e-02
496800       	1.656850e-02
498764       	1.681970e-02
500727       	1.693970e-02
502691       	1.726710e-02
504655       	1.746300e-02
506618       	1.736020e-02
508582       	1.696580e-02
510545       	1.648290e-02
512509       	1.594630e-02
514473       	1.541260e-02
516436       	1.489550e-02
518400       	1.463980e-02
520364       	1.451700e-02
522327       	1.462810e-02
524291       	1.486540e-02
526255       	1.504160e-02
528218       	1.521890e-02
530182       	1.541050e-02
532145       	1.559400e-02
534109       	1.570860e-02
536073       	1.598710e-02
538036       	1.623740e-02
540000       	1.624090e-02
541964       	1.604380e-02
543927       	1.576360e-02
545891       	1.554330e-02
547855       	1.531960e-02
549818       	1.510990e-02
551782       	1.496150e-02
553745       	1.490000e-02
555709       	1.494060e-02
557673       	1.534270e-02
559636       	1.564530e-02
561600       	1.606060e-02
563564       	1.624910e-02
565527       	1.627710e-02
567491       	1.623100e-02
569455       	1.608540e-02
571418       	1.617370e-02
573382       	1.669370e-02
575345       	1.741210e-02
577309       	1.810570e-02
579273       	1.867370e-02
581236       	1.904620e-02
583200       	1.928330e-02
585164       	1.905060e-02
587127       	1.853560e-02
589091       	1.832230e-02
591055       	1.846540e-02
593018       	1.894740e-02
594982       	1.983490e-02
596945       	2.094080e-02
598516       	1.756210e-02
600087       	1.710090e-02
601265       	1.290230e-02
602444       	1.335650e-02
603622       	1.388260e-02
604800       	1.452010e-02
606034       	1.583530e-02
607251       	1.603730e-02
608468       	1.591500e-02
609667       	1.512110e-02
610848       	1.516510e-02
612048       	1.588330e-02
613212       	1.613070e-02
614393       	1.681480e-02
615540       	1.664760e-02
616704       	1.676680e-02
617832       	1.571630e-02
618961       	1.536030e-02
620090       	1.552380e-02
621201       	1.573540e-02
622312       	1.624850e-02
623460       	1.713280e-02
624589       	1.701590e-02
625718       	1.680210e-02
626847       	1.607480e-02
627996       	1.556700e-02
629189       	1.607700e-02
630405       	1.671140e-02
631645       	1.752100e-02
632913       	1.845400e-02
634208       	1.917830e-02
635533       	1.939020e-02
636859       	1.836380e-02
